uid,promedio,semestre,num_materias
estudiante_001,8.5,8,4
estudiante_002,7.9,6,4
estudiante_003,8.6,8,3
estudiante_004,9.5,1,4
estudiante_005,7.8,8,8
estudiante_006,7.8,4,8
estudiante_007,9.6,1,3
estudiante_008,8.8,8,7
estudiante_009,7.5,4,7
estudiante_010,8.5,6,3
estudiante_011,7.5,8,7
estudiante_012,7.5,4,7
estudiante_013,8.2,3,8
estudiante_014,6.1,9,7
estudiante_015,6.3,3,5
estudiante_016,7.4,9,6
estudiante_017,7.0,2,4
estudiante_018,8.3,2,5
estudiante_019,7.1,2,7
estudiante_020,6.6,6,8
estudiante_021,9.5,3,3
estudiante_022,7.8,9,7
estudiante_023,8.1,4,8
estudiante_024,6.6,1,6
estudiante_025,7.5,4,7
estudiante_026,8.1,1,3
estudiante_027,6.8,5,8
estudiante_028,8.4,4,8
estudiante_029,7.4,8,8
estudiante_030,7.7,8,6
estudiante_031,7.4,7,7
estudiante_032,9.9,3,6
estudiante_033,8.0,1,4
estudiante_034,6.9,1,4
estudiante_035,8.8,3,7
estudiante_036,6.8,6,6
estudiante_037,8.2,7,3
estudiante_038,6.0,6,8
estudiante_039,6.7,6,8
estudiante_040,8.2,6,7
estudiante_041,8.7,3,4
estudiante_042,8.2,6,4
estudiante_043,7.9,8,8
estudiante_044,7.7,2,7
estudiante_045,6.5,5,6
estudiante_046,7.3,1,4
estudiante_047,7.5,1,6
estudiante_048,9.1,5,4
estudiante_049,8.3,3,4
estudiante_050,6.2,4,5
estudiante_051,8.3,3,4
estudiante_052,7.6,1,3
estudiante_053,7.3,1,7
estudiante_054,8.6,5,7
estudiante_055,9.0,6,6
estudiante_056,8.9,3,4
estudiante_057,7.2,9,3
estudiante_058,7.7,5,6
estudiante_059,8.3,8,5
estudiante_060,9.0,1,6
estudiante_061,7.5,5,6
estudiante_062,7.8,3,4
estudiante_063,6.9,1,5
estudiante_064,6.8,4,6
estudiante_065,8.8,5,3
estudiante_066,9.4,7,3
estudiante_067,7.9,1,7
estudiante_068,9.0,3,5
estudiante_069,8.4,2,5
estudiante_070,7.4,9,7
estudiante_071,8.4,10,6
estudiante_072,9.5,6,5
estudiante_073,8.0,10,3
estudiante_074,9.6,3,3
estudiante_075,6.0,8,4
estudiante_076,8.8,8,5
estudiante_077,8.1,2,6
estudiante_078,7.7,6,7
estudiante_079,8.1,7,7
estudiante_080,6.0,2,6
estudiante_081,7.8,10,8
estudiante_082,8.4,2,4
estudiante_083,9.5,10,7
estudiante_084,7.5,1,5
estudiante_085,7.2,8,4
estudiante_086,7.5,1,5
estudiante_087,8.9,9,3
estudiante_088,8.3,6,4
estudiante_089,7.5,7,7
estudiante_090,8.5,10,4
estudiante_091,8.1,7,4
estudiante_092,9.0,10,4
estudiante_093,7.3,3,8
estudiante_094,7.7,2,4
estudiante_095,7.6,9,5
estudiante_096,6.5,8,3
estudiante_097,8.3,10,6
estudiante_098,8.3,7,4
estudiante_099,8.0,9,7
estudiante_100,7.8,4,4
estudiante_101,6.6,4,7
estudiante_102,7.6,1,5
estudiante_103,7.7,8,7
estudiante_104,7.2,3,6
estudiante_105,7.8,7,3
estudiante_106,8.4,2,7
estudiante_107,9.9,2,7
estudiante_108,8.2,7,3
estudiante_109,8.3,6,6
estudiante_110,7.9,3,4
estudiante_111,6.1,9,7
estudiante_112,8.0,10,3
estudiante_113,8.1,6,5
estudiante_114,10.0,10,3
estudiante_115,7.8,10,5
estudiante_116,8.3,6,6
estudiante_117,8.0,1,4
estudiante_118,6.8,4,3
estudiante_119,9.1,10,8
estudiante_120,8.8,6,7
estudiante_121,8.8,6,6
estudiante_122,7.1,5,3
estudiante_123,9.4,1,7
estudiante_124,6.6,8,3
estudiante_125,8.6,5,5
estudiante_126,10.0,5,3
estudiante_127,7.0,7,8
estudiante_128,7.4,4,3
estudiante_129,8.1,6,3
estudiante_130,7.5,4,8
estudiante_131,6.4,3,6
estudiante_132,8.1,7,3
estudiante_133,6.9,8,8
estudiante_134,8.5,4,7
estudiante_135,7.1,2,5
estudiante_136,9.5,10,5
estudiante_137,7.2,3,3
estudiante_138,7.7,1,6
estudiante_139,8.8,8,6
estudiante_140,6.8,3,7
estudiante_141,8.2,10,3
estudiante_142,9.3,7,5
estudiante_143,6.4,10,6
estudiante_144,8.2,5,3
estudiante_145,8.3,10,6
estudiante_146,8.8,5,8
estudiante_147,6.8,7,6
estudiante_148,6.7,9,5
estudiante_149,8.5,5,4
estudiante_150,8.3,1,7
