id,id_alumno,id_aplicacion,carrera,promedio_anterior,semestre,materias,transporte,familiares,trabajo,beca,sexo,edad,estado_civil,fecha_aplicacion,fecha_fin,promedio_ansiedad,suma_ansiedad,num_preguntas,categoria,ansiedad_familia,ansiedad_escuela,ansiedad_social,nivel_ansiedad
786,2512,3,IINF,84.8,10,5,2,0,0,0,M,21,Soltero,2025-04-01,2025-04-04,0.2857,2.0,7,ansiedad,,,,Bajo
787,2513,3,ISC,81.4,9,8,1,0,0,1,F,18,Soltero,2025-04-01,2025-04-04,1.2857,9.0,7,ansiedad,,,,Medio
788,2514,3,ISC,87.8,7,4,3,0,0,1,M,28,Soltero,2025-04-01,2025-04-04,0.0,0.0,7,ansiedad,,,,
789,2515,3,IGE,77.6,7,7,2,0,0,1,M,21,Soltero,2025-04-01,2025-04-04,0.0,0.0,7,ansiedad,,,,
790,2516,3,IINF,86.7,1,6,1,0,1,0,M,25,Soltero,2025-04-01,2025-04-04,0.2857,2.0,7,ansiedad,,,,Bajo
791,2517,3,IINF,85.4,7,4,3,0,1,0,M,24,Soltero,2025-04-01,2025-04-04,0.5714,4.0,7,ansiedad,,,,Bajo
792,2518,3,ICD,70.7,6,7,3,0,0,0,M,21,Soltero,2025-04-01,2025-04-04,0.1429,1.0,7,ansiedad,,,,Bajo
793,2519,3,IGE,77.7,5,5,2,0,0,0,M,18,Casado,2025-04-01,2025-04-04,0.2857,2.0,7,ansiedad,,,,Bajo
794,2520,3,ICD,90.5,1,6,2,0,0,0,F,26,Casado,2025-04-01,2025-04-04,0.8571,6.0,7,ansiedad,,,,Bajo
795,2521,3,ICD,74.8,3,4,3,0,1,0,M,27,Soltero,2025-04-01,2025-04-04,0.7143,5.0,7,ansiedad,,,,Bajo
796,2522,3,IINF,91.6,1,6,1,0,0,0,F,27,Soltero,2025-04-01,2025-04-04,0.2857,2.0,7,ansiedad,,,,Bajo
797,2523,3,ISC,78.1,9,6,1,0,0,0,F,25,Soltero,2025-04-01,2025-04-04,0.0,0.0,7,ansiedad,,,,
798,2524,3,IGE,76.8,8,5,1,0,1,1,M,18,Soltero,2025-04-01,2025-04-04,0.4286,3.0,7,ansiedad,,,,Bajo
799,2525,3,ISC,75.3,9,7,2,0,0,0,F,19,Soltero,2025-04-01,2025-04-04,0.4286,3.0,7,ansiedad,,,,Bajo
800,2526,3,ICD,77.6,8,4,3,0,1,0,M,23,Soltero,2025-04-01,2025-04-04,0.7143,5.0,7,ansiedad,,,,Bajo
801,2527,3,ICD,77.5,4,4,2,0,0,0,M,20,Soltero,2025-04-01,2025-04-04,0.4286,3.0,7,ansiedad,,,,Bajo
802,2528,3,ICD,84.1,1,4,3,0,0,0,F,18,Casado,2025-04-01,2025-04-04,0.0,0.0,7,ansiedad,,,,
803,2529,3,ISC,71.6,1,5,0,0,0,0,F,27,Soltero,2025-04-01,2025-04-04,0.0,0.0,7,ansiedad,,,,
804,2530,3,IINF,88.4,10,8,2,0,1,0,F,24,Soltero,2025-04-01,2025-04-04,1.0,7.0,7,ansiedad,,,,Bajo
805,2531,3,IGE,87.9,1,7,0,0,0,1,F,24,Soltero,2025-04-01,2025-04-04,0.0,0.0,7,ansiedad,,,,
806,2532,3,ISC,73.8,3,7,2,0,0,0,F,18,Soltero,2025-04-01,2025-04-04,1.4286,10.0,7,ansiedad,,,,Medio
807,2533,3,ICD,71.0,7,5,0,0,1,0,F,26,Soltero,2025-04-01,2025-04-04,0.8571,6.0,7,ansiedad,,,,Bajo
