id_alumno,suma_ansiedad,promedio_respuesta,nivel_3
2012,2.0,0.2857,Bajo
2013,2.0,0.2857,Bajo
2014,11.0,1.5714,Medio
2015,3.0,0.4286,Bajo
2016,11.0,1.5714,Medio
2017,11.0,1.5714,Medio
2018,11.0,1.5714,Medio
2019,10.0,1.4286,Medio
2020,2.0,0.2857,Bajo
2021,3.0,0.4286,Bajo
2022,2.0,0.2857,Bajo
2023,3.0,0.4286,Bajo
2024,3.0,0.4286,Bajo
2025,3.0,0.4286,Bajo
2026,3.0,0.4286,Bajo
2027,2.0,0.2857,Bajo
2028,10.0,1.4286,Medio
2029,16.0,2.2857,Alto
2030,2.0,0.2857,Bajo
2031,2.0,0.2857,Bajo
2032,3.0,0.4286,Bajo
2033,16.0,2.2857,Alto
2034,10.0,1.4286,Medio
2035,2.0,0.2857,Bajo
2036,3.0,0.4286,Bajo
2037,3.0,0.4286,Bajo
2038,3.0,0.4286,Bajo
2039,3.0,0.4286,Bajo
2040,17.0,2.4286,Alto
2041,2.0,0.2857,Bajo
2042,2.0,0.2857,Bajo
2043,11.0,1.5714,Medio
2044,17.0,2.4286,Alto
2045,3.0,0.4286,Bajo
2046,16.0,2.2857,Alto
2047,10.0,1.4286,Medio
2048,2.0,0.2857,Bajo
2049,10.0,1.4286,Medio
2050,11.0,1.5714,Medio
2051,11.0,1.5714,Medio
2052,3.0,0.4286,Bajo
2053,3.0,0.4286,Bajo
2054,17.0,2.4286,Alto
2055,16.0,2.2857,Alto
2056,10.0,1.4286,Medio
2057,3.0,0.4286,Bajo
2058,11.0,1.5714,Medio
2059,2.0,0.2857,Bajo
2060,10.0,1.4286,Medio
2061,10.0,1.4286,Medio
2062,10.0,1.4286,Medio
2063,17.0,2.4286,Alto
2064,16.0,2.2857,Alto
2065,3.0,0.4286,Bajo
2066,3.0,0.4286,Bajo
2067,3.0,0.4286,Bajo
2068,3.0,0.4286,Bajo
2069,3.0,0.4286,Bajo
2070,10.0,1.4286,Medio
2071,16.0,2.2857,Alto
2072,10.0,1.4286,Medio
2073,3.0,0.4286,Bajo
2074,3.0,0.4286,Bajo
2075,2.0,0.2857,Bajo
2076,17.0,2.4286,Alto
2077,16.0,2.2857,Alto
2078,17.0,2.4286,Alto
2079,3.0,0.4286,Bajo
2080,11.0,1.5714,Medio
2081,10.0,1.4286,Medio
2082,16.0,2.2857,Alto
2083,3.0,0.4286,Bajo
2084,16.0,2.2857,Alto
2085,3.0,0.4286,Bajo
2086,3.0,0.4286,Bajo
2087,3.0,0.4286,Bajo
2088,2.0,0.2857,Bajo
2089,17.0,2.4286,Alto
2090,10.0,1.4286,Medio
2091,11.0,1.5714,Medio
2092,3.0,0.4286,Bajo
2093,11.0,1.5714,Medio
2094,2.0,0.2857,Bajo
2095,2.0,0.2857,Bajo
2096,16.0,2.2857,Alto
2097,16.0,2.2857,Alto
2098,17.0,2.4286,Alto
2099,10.0,1.4286,Medio
2100,10.0,1.4286,Medio
2101,11.0,1.5714,Medio
2102,11.0,1.5714,Medio
2103,10.0,1.4286,Medio
2104,3.0,0.4286,Bajo
2105,16.0,2.2857,Alto
2106,3.0,0.4286,Bajo
2107,10.0,1.4286,Medio
2108,11.0,1.5714,Medio
2109,11.0,1.5714,Medio
2110,10.0,1.4286,Medio
2111,10.0,1.4286,Medio
2112,11.0,1.5714,Medio
2113,10.0,1.4286,Medio
2114,16.0,2.2857,Alto
2115,10.0,1.4286,Medio
2116,3.0,0.4286,Bajo
2117,2.0,0.2857,Bajo
2118,3.0,0.4286,Bajo
2119,11.0,1.5714,Medio
2120,3.0,0.4286,Bajo
2121,10.0,1.4286,Medio
2122,10.0,1.4286,Medio
2123,11.0,1.5714,Medio
2124,11.0,1.5714,Medio
