id_alumno,promedio_anterior,semestre,materias,edad,transporte,familiares,trabajo,beca,sexo,estado_civil,carrera,suma_ansiedad,nivel_proporcional,nivel_percentiles,nivel_std,nivel_ansiedad
3512,77.4,3,8,26,3,0,0,0,M,Soltero,ICD,2.0,Bajo,Medio,Medio,Bajo
3513,79.6,6,7,23,0,0,0,0,M,Soltero,IGE,9.0,Alto,Alto,Alto,Alto
3514,91.3,6,8,26,3,0,0,0,M,Casado,ISC,0.0,Bajo,Bajo,Bajo,Bajo
3515,77.9,3,7,20,1,0,0,0,M,Soltero,ICD,0.0,Bajo,Bajo,Bajo,Bajo
3516,74.2,7,8,20,2,0,1,0,M,Soltero,ICD,2.0,Bajo,Medio,Medio,Bajo
3517,83.9,3,8,23,0,0,0,0,M,Soltero,IGE,4.0,Bajo,Medio,Medio,Bajo
3518,93.4,8,4,26,2,0,1,0,F,Soltero,ISC,1.0,Bajo,Bajo,Bajo,Bajo
3519,87.4,10,5,24,3,0,0,0,F,Soltero,ISC,2.0,Bajo,Medio,Medio,Bajo
3520,84.3,4,8,20,2,0,0,0,F,Soltero,ICD,6.0,Medio,Alto,Alto,Medio
3521,72.4,1,8,20,3,0,0,0,F,Soltero,IINF,5.0,Medio,Alto,Alto,Medio
3522,85.4,4,6,19,3,0,1,0,M,Soltero,ICD,2.0,Bajo,Medio,Medio,Bajo
3523,94.8,7,5,26,1,0,0,1,F,Soltero,ICD,0.0,Bajo,Bajo,Bajo,Bajo
3524,73.5,4,6,20,3,0,0,0,M,Soltero,ICD,3.0,Bajo,Medio,Medio,Bajo
3525,83.0,6,5,22,1,0,0,0,F,Casado,ICD,3.0,Bajo,Medio,Medio,Bajo
3526,91.9,9,6,26,1,0,0,0,F,Soltero,IGE,5.0,Medio,Alto,Alto,Medio
3527,88.5,1,8,25,1,0,0,0,F,Casado,ISC,3.0,Bajo,Medio,Medio,Bajo
3528,87.4,5,8,19,0,0,1,0,F,Soltero,IGE,0.0,Bajo,Bajo,Bajo,Bajo
3529,87.6,7,4,20,0,0,0,0,F,Casado,IGE,0.0,Bajo,Bajo,Bajo,Bajo
3530,79.0,1,6,19,3,0,0,0,M,Casado,IGE,7.0,Medio,Alto,Alto,Medio
3531,77.3,4,7,25,1,0,0,0,M,Soltero,ICD,0.0,Bajo,Bajo,Bajo,Bajo
3532,90.2,6,4,23,0,0,0,0,F,Soltero,IINF,10.0,Alto,Alto,Alto,Alto
3533,90.3,2,6,23,1,0,1,0,M,Soltero,ISC,6.0,Medio,Alto,Alto,Medio
3534,91.7,10,6,26,2,0,0,0,F,Soltero,IINF,4.0,Bajo,Medio,Medio,Bajo
3535,92.8,5,4,25,2,0,0,0,F,Soltero,IGE,0.0,Bajo,Bajo,Bajo,Bajo
3536,82.8,10,8,21,2,0,0,0,M,Soltero,IGE,1.0,Bajo,Bajo,Bajo,Bajo
3537,82.5,1,6,21,3,0,1,1,F,Soltero,IINF,3.0,Bajo,Medio,Medio,Bajo
3538,90.0,6,8,26,1,0,1,0,F,Soltero,IINF,1.0,Bajo,Bajo,Bajo,Bajo
