carrera,promedio_anterior,semestre,materias,transporte,trabajo,beca,sexo,edad,estado_civil,suma_ansiedad,nivel_ansiedad,carrera_cod,sexo_cod,estado_civil_cod
ISC,76.1,7,5,1,0,0,M,25,Soltero,2,Bajo,3,0,1
ICD,82.5,10,8,0,0,0,M,25,Soltero,9,Alto,0,0,1
IGE,78.3,10,4,2,0,0,F,19,Soltero,0,Bajo,1,1,1
IINF,93.3,5,6,0,0,1,F,21,Soltero,0,Bajo,2,1,1
ICD,70.2,7,7,2,1,0,M,23,Soltero,2,Bajo,0,0,1
IGE,75.6,2,5,0,0,1,F,26,Casado,4,Bajo,1,1,0
IGE,79.1,4,4,2,0,0,F,25,Casado,1,Bajo,1,1,0
ICD,82.2,2,8,1,1,0,M,25,Soltero,2,Bajo,0,0,1
IINF,91.3,7,4,2,0,0,M,24,Soltero,6,Medio,2,0,1
ICD,72.2,2,8,1,0,0,M,26,Soltero,5,Bajo,0,0,1
IGE,90.1,1,6,1,1,0,M,19,Soltero,2,Bajo,1,0,1
ISC,71.4,9,7,2,1,1,M,20,Soltero,0,Bajo,3,0,1
ISC,91.1,1,6,0,0,0,M,27,Soltero,3,Bajo,3,0,1
ICD,71.3,8,5,0,0,0,M,25,Soltero,3,Bajo,0,0,1
IGE,70.5,2,4,3,1,0,F,23,Soltero,5,Bajo,1,1,1
ISC,87.4,8,8,0,0,0,F,27,Soltero,3,Bajo,3,1,1
IGE,94.9,3,8,3,0,0,F,26,Soltero,0,Bajo,1,1,1
ICD,92.4,6,4,0,1,1,M,27,Soltero,0,Bajo,0,0,1
ISC,84.4,3,4,0,0,0,F,21,Soltero,7,Medio,3,1,1
IGE,92.9,7,5,1,0,0,F,25,Casado,0,Bajo,1,1,0
ISC,70.1,10,6,3,0,0,F,27,Casado,10,Alto,3,1,0
ICD,94.4,9,8,0,1,1,M,20,Soltero,6,Medio,0,0,1
IGE,82.3,2,5,3,0,1,F,20,Soltero,4,Bajo,1,1,1
ISC,88.1,5,6,1,0,0,M,25,Soltero,0,Bajo,3,0,1
ICD,90.5,6,5,1,0,0,M,22,Soltero,1,Bajo,0,0,1
ISC,88.0,4,8,3,0,1,M,20,Soltero,3,Bajo,3,0,1
ISC,83.4,4,4,1,0,0,F,27,Soltero,1,Bajo,3,1,1
IINF,81.9,4,4,2,1,1,M,18,Soltero,4,Bajo,2,0,1
IINF,91.0,2,6,2,0,0,F,20,Soltero,0,Bajo,2,1,1
ICD,75.1,4,7,1,0,0,F,26,Soltero,2,Bajo,0,1,1
IINF,94.2,1,6,2,1,1,M,22,Soltero,4,Bajo,2,0,1
ICD,87.8,6,7,0,0,1,F,27,Soltero,4,Bajo,0,1,1
IINF,75.0,1,5,3,1,0,M,19,Soltero,0,Bajo,2,0,1
ISC,88.4,10,5,0,0,0,F,24,Casado,0,Bajo,3,1,0
ICD,83.2,6,8,3,0,0,M,19,Soltero,0,Bajo,0,0,1
ICD,87.7,1,7,1,0,0,M,21,Soltero,6,Medio,0,0,1
ISC,89.2,6,8,0,1,0,F,24,Casado,6,Medio,3,1,0
ICD,72.2,10,4,1,0,0,F,21,Casado,8,Alto,0,1,0
ICD,82.7,8,7,1,0,1,F,24,Soltero,4,Bajo,0,1,1
IINF,93.3,2,6,3,0,0,F,24,Casado,3,Bajo,2,1,0
ICD,78.0,2,4,3,0,0,F,18,Soltero,2,Bajo,0,1,1
IGE,84.8,4,4,3,0,0,F,23,Soltero,5,Bajo,1,1,1
ISC,79.2,3,6,0,1,0,F,26,Soltero,2,Bajo,3,1,1
IINF,81.4,4,4,2,0,0,F,19,Soltero,0,Bajo,2,1,1
IINF,83.7,7,7,3,1,1,M,20,Soltero,0,Bajo,2,0,1
IGE,83.7,1,8,3,0,0,F,27,Soltero,2,Bajo,1,1,1
ISC,75.0,6,4,0,0,1,M,22,Soltero,4,Bajo,3,0,1
ISC,87.1,3,7,3,0,1,F,26,Soltero,1,Bajo,3,1,1
IINF,72.2,10,5,0,0,0,F,21,Soltero,0,Bajo,2,1,1
ICD,73.5,7,7,1,1,1,F,18,Soltero,10,Alto,0,1,1
IINF,70.1,10,8,3,1,1,F,21,Soltero,3,Bajo,2,1,1
ISC,72.9,2,7,3,0,0,F,23,Soltero,4,Bajo,3,1,1
IGE,81.8,2,6,1,0,0,M,22,Soltero,10,Alto,1,0,1
IINF,85.2,4,8,1,0,0,F,18,Casado,5,Bajo,2,1,0
ISC,89.9,1,5,1,1,0,M,21,Soltero,10,Alto,3,0,1
IINF,72.7,3,6,3,0,1,M,23,Soltero,2,Bajo,2,0,1
ICD,91.3,9,7,2,0,0,M,27,Soltero,0,Bajo,0,0,1
IINF,88.6,7,8,2,1,1,M,27,Soltero,2,Bajo,2,0,1
IINF,80.2,7,5,2,0,0,M,21,Soltero,5,Bajo,2,0,1
ISC,93.3,4,6,3,0,0,F,26,Soltero,1,Bajo,3,1,1
ISC,94.8,2,5,1,0,1,M,22,Soltero,7,Medio,3,0,1
ISC,75.1,4,7,3,1,0,M,25,Soltero,3,Bajo,3,0,1
IINF,79.5,6,5,1,0,0,M,26,Casado,2,Bajo,2,0,0
ICD,93.2,3,4,3,0,0,M,27,Soltero,5,Bajo,0,0,1
IGE,88.0,1,6,3,0,0,F,22,Soltero,0,Bajo,1,1,1
IGE,71.2,8,5,1,0,0,M,23,Casado,1,Bajo,1,0,0
ISC,89.5,5,7,2,0,0,M,18,Soltero,5,Bajo,3,0,1
ISC,90.7,5,7,1,0,0,M,24,Soltero,5,Bajo,3,0,1
IINF,88.8,4,5,0,0,1,M,21,Soltero,1,Bajo,2,0,1
IGE,90.0,6,7,0,0,0,M,19,Soltero,5,Bajo,1,0,1
ISC,90.6,3,8,1,0,0,M,22,Soltero,6,Medio,3,0,1
ICD,74.7,9,8,3,0,0,F,20,Soltero,6,Medio,0,1,1
ICD,75.9,5,8,0,1,1,F,23,Soltero,5,Bajo,0,1,1
ISC,85.8,3,4,0,0,0,M,25,Soltero,5,Bajo,3,0,1
ISC,92.7,1,5,3,1,0,F,24,Soltero,4,Bajo,3,1,1
IGE,77.9,10,4,3,1,0,M,20,Soltero,1,Bajo,1,0,1
IGE,84.7,6,7,2,0,0,M,25,Soltero,2,Bajo,1,0,1
IINF,87.1,2,4,3,0,1,F,19,Casado,2,Bajo,2,1,0
IGE,81.3,3,7,1,0,0,M,27,Soltero,2,Bajo,1,0,1
ICD,87.8,1,7,1,0,0,F,26,Soltero,4,Bajo,0,1,1
ICD,92.5,9,6,2,0,0,M,21,Soltero,0,Bajo,0,0,1
ISC,85.6,8,8,0,0,0,M,18,Soltero,0,Bajo,3,0,1
IGE,83.5,2,7,0,0,1,M,25,Soltero,5,Bajo,1,0,1
IINF,81.0,8,6,3,1,1,F,24,Soltero,0,Bajo,2,1,1
ICD,84.4,9,8,1,0,0,F,22,Casado,0,Bajo,0,1,0
ICD,78.9,1,7,0,1,1,F,27,Casado,4,Bajo,0,1,0
IINF,79.8,5,7,2,0,1,M,22,Soltero,5,Bajo,2,0,1
IINF,83.3,8,4,2,1,0,M,24,Soltero,5,Bajo,2,0,1
ICD,71.7,2,4,1,0,0,M,22,Soltero,1,Bajo,0,0,1
ICD,75.7,4,8,2,0,0,M,25,Soltero,1,Bajo,0,0,1
IINF,83.6,7,7,2,0,1,F,23,Soltero,4,Bajo,2,1,1
ICD,80.8,3,5,1,0,1,M,22,Soltero,3,Bajo,0,0,1
ISC,78.3,5,4,3,0,1,F,26,Soltero,1,Bajo,3,1,1
ISC,88.3,8,8,3,1,1,F,19,Soltero,4,Bajo,3,1,1
IINF,87.3,10,7,2,0,0,M,18,Soltero,3,Bajo,2,0,1
IGE,74.2,3,7,3,0,1,F,25,Casado,6,Medio,1,1,0
IINF,92.0,4,5,3,1,1,M,20,Soltero,0,Bajo,2,0,1
IINF,82.4,9,8,2,1,0,M,24,Soltero,0,Bajo,2,0,1
IGE,88.5,7,7,3,0,0,M,27,Soltero,0,Bajo,1,0,1
IGE,84.3,1,4,2,0,1,F,25,Soltero,3,Bajo,1,1,1
IGE,94.9,4,5,0,0,0,M,23,Soltero,3,Bajo,1,0,1
ISC,88.8,4,8,1,0,1,M,27,Soltero,1,Bajo,3,0,1
ICD,87.7,9,5,1,1,0,M,26,Soltero,10,Alto,0,0,1
ISC,89.5,6,4,3,1,0,M,24,Soltero,0,Bajo,3,0,1
ICD,73.6,9,8,3,1,1,F,27,Soltero,2,Bajo,0,1,1
ISC,75.1,6,5,3,1,0,F,22,Soltero,1,Bajo,3,1,1
ICD,87.9,6,6,1,0,0,M,25,Soltero,4,Bajo,0,0,1
ISC,82.3,5,4,0,1,0,M,19,Casado,1,Bajo,3,0,0
IGE,88.9,5,4,0,1,1,F,24,Soltero,0,Bajo,1,1,1
IINF,72.6,2,4,1,0,0,M,21,Soltero,0,Bajo,2,0,1
ISC,83.4,8,6,0,1,1,F,26,Soltero,2,Bajo,3,1,1
ICD,79.5,8,6,1,0,0,M,18,Casado,4,Bajo,0,0,0
IGE,81.4,1,7,0,0,1,M,24,Soltero,3,Bajo,1,0,1
ISC,85.1,8,5,2,1,1,M,23,Soltero,5,Bajo,3,0,1
ISC,82.6,5,7,2,0,0,M,25,Soltero,4,Bajo,3,0,1
IGE,83.5,2,5,1,0,0,F,22,Soltero,2,Bajo,1,1,1
